,movie_name,release_date,score,genre,budget,revenue,country,release_year,continent,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
1135,Alice In Wonderland,1951-12-21,72.0,"Animation, Family, Fantasy, Adventure",200000000.0,1025491110.0,Australia,1951.0,Oceania,0.0,2.0,0.0,5.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0
1136,Alice In Wonderland,1951-12-21,72.0,"Animation, Family, Fantasy, Adventure",3000000.0,0.0,Australia,1951.0,Oceania,0.0,2.0,0.0,5.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0
1153,The Truman Show,1998-09-24,81.0,"Comedy, Drama",60000000.0,264118201.0,Australia,1998.0,Oceania,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1155,The Martian,2015-09-30,77.0,"Drama, Adventure, Science Fiction",108000000.0,653609107.0,Australia,2015.0,Oceania,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0
1156,Forrest Gump,1994-11-17,85.0,"Comedy, Drama, Romance",55000000.0,679835137.0,Australia,1994.0,Oceania,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1158,We'Re The Millers,2013-08-15,68.0,"Comedy, Crime",37000000.0,269994119.0,Australia,2013.0,Oceania,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
1159,Sicario,2015-09-24,74.0,"Action, Crime, Thriller",30000000.0,84264182.0,Australia,2015.0,Oceania,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
1162,Bolt,2009-01-01,65.0,"Animation, Family, Adventure, Comedy",150000000.0,328015029.0,Australia,2009.0,Oceania,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1163,Prisoners,2013-10-17,81.0,"Drama, Thriller, Crime",46000000.0,113310547.0,Australia,2013.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
1164,It'S A Wonderful Life,1948-02-06,83.0,"Drama, Family, Fantasy",3180000.0,9644124.0,Australia,1948.0,Oceania,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
