,movie_name,release_date,score,genre,budget,revenue,country,release_year
1950,Saw Iii,2006-11-02,64.0,"Horror, Thriller, Crime",10000000.0,163876815.0,AU,2006.0
1951,A Walk Among The Tombstones,2014-09-19,63.0,"Crime, Drama, Mystery, Thriller",28000000.0,62108587.0,AU,2014.0
1952,Home On The Range,2004-09-16,60.0,"Animation, Family",110000000.0,76482461.0,AU,2004.0
1953,Hocus Pocus,1993-07-16,71.0,"Fantasy, Comedy, Family",28000000.0,45147989.0,US,1993.0
1954,King Tweety,2022-06-14,70.0,"Animation, Comedy, Family",111000000.0,294668448.4,US,2022.0
1955,The Polar Express,2004-11-18,67.0,"Animation, Family, Adventure, Fantasy, Comedy",170000000.0,312183437.0,AU,2004.0
1956,The Fox And The Hound 2,2006-11-09,61.0,"Adventure, Animation, Comedy, Family",24000000.0,120165396.4,AU,2006.0
1957,Young Sister-In-Law 2,2017-02-08,53.0,Romance,121400000.0,492196010.4,KR,2017.0
1958,Kingdom: Ashin Of The North,2021-07-23,74.0,"Drama, Fantasy, Thriller",134800000.0,489434716.4,KR,2021.0
1959,Central Intelligence,2016-07-08,64.0,"Action, Comedy, Crime, Mystery",50000000.0,217194805.0,AU,2016.0
1960,Paranorman,2013-01-10,70.0,"Family, Animation, Adventure, Comedy",60000000.0,108119662.0,AU,2013.0
1961,Dirty Grandpa,2016-01-28,59.0,Comedy,11500000.0,105078449.0,AU,2016.0
1962,The Case Of The Bloody Iris,1972-08-04,62.0,"Thriller, Horror",110000000.0,244165005.2,US,1972.0
1963,Scott Pilgrim Vs. The World,2010-08-12,75.0,"Action, Comedy, Romance",85000000.0,48000000.0,AU,2010.0
1964,Straight Outta Compton,2015-08-27,78.0,"Drama, Music, History",28000000.0,202182981.0,AU,2015.0
1965,His Only Son,2023-03-31,0.0,Drama,174600000.0,175269998.8,US,2023.0
1966,Mission: Impossible Ii,2000-06-01,61.0,"Adventure, Action, Thriller",125000000.0,546388105.0,AU,2000.0
1967,Underworld: Evolution,2006-01-12,66.0,"Fantasy, Action, Thriller",45000000.0,113417762.0,AU,2006.0
1968,The Stranger By The Shore,2020-09-11,76.0,"Animation, Romance, Drama",112800000.0,842709295.0,JP,2020.0
1969,Love Like The Falling Petals,2022-03-24,79.0,"Romance, Drama",86000000.0,568108808.2,JP,2022.0
1970,Unknown,2011-02-17,67.0,"Action, Mystery, Thriller",40000000.0,136123083.0,AU,2011.0
1971,Unknown,2011-02-17,67.0,"Action, Mystery, Thriller",3700000.0,3355048.0,AU,2011.0
1972,Amsterdam,2022-10-06,61.0,"Comedy, Crime, Thriller, Mystery, History",80000000.0,29400826.0,AU,2022.0
1973,Men Of Honor,2001-07-26,74.0,Drama,32000000.0,82339483.0,AU,2001.0
1974,Violet Evergarden: Eternity And The Auto Memory Doll,2019-09-06,82.0,"Drama, Fantasy, Animation",8745556.2,10841702.0,JP,2019.0
1975,Insidious: Chapter 3,2015-05-28,63.0,"Horror, Thriller, Mystery",10000000.0,112983889.0,US,2015.0
1976,Jonah Hex,2010-08-05,49.0,"Action, Western, Drama, Fantasy, Thriller",47000000.0,11022696.0,AU,2010.0
1977,Alpha,2018-09-27,65.0,"Adventure, Drama",51000000.0,99624873.0,AU,2018.0
1978,Men In Black Ii,2002-07-03,64.0,"Action, Adventure, Comedy, Science Fiction",140000000.0,445135288.0,AU,2002.0
1979,Kill Bill: Vol. 1,2003-10-16,80.0,"Action, Crime",30000000.0,180906076.0,AU,2003.0
1980,The Mermaid,2016-02-08,64.0,"Comedy, Fantasy, Romance",60720000.0,553810228.0,CN,2016.0
1981,Angel Guts: Red Porno,1981-12-25,53.0,Drama,119600000.0,362461687.2,JP,1981.0
1982,Super 8,2011-06-09,68.0,"Thriller, Science Fiction, Mystery",50000000.0,257972745.0,AU,2011.0
1983,Mario,2018-02-22,73.0,"Drama, Romance",58000000.0,626713614.8,CH,2018.0
1984,Planet Of The Apes,1968-02-07,76.0,"Science Fiction, Adventure, Drama, Action",100000000.0,362211740.0,US,1968.0
1985,Planet Of The Apes,1968-02-07,76.0,"Science Fiction, Adventure, Drama, Action",5800000.0,33398936.0,US,1968.0
1986,Godmothered,2020-12-04,69.0,"Family, Fantasy, Comedy",93600000.0,551804687.0,US,2020.0
1987,Braveheart,1995-06-01,79.0,"Action, Drama, History, War",72000000.0,209045244.0,AU,1995.0
1988,Julia,1974-11-27,45.0,"Comedy, Romance, Drama",6000000.0,1365108.0,DE,1974.0
1989,Hitman'S Wife'S Bodyguard,2021-06-24,67.0,"Action, Comedy, Thriller",70000000.0,70060492.0,AU,2021.0
1990,Geostorm,2017-10-19,61.0,"Action, Science Fiction, Thriller",100000000.0,220796009.0,AU,2017.0
1991,The Time Capsule,2022-07-06,64.0,"Drama, Romance, Science Fiction",91200000.0,538716016.6,AU,2022.0
1992,The Final Destination,2009-10-15,56.0,"Horror, Mystery",40000000.0,187384627.0,AU,2009.0
1993,6 Underground,2019-12-13,63.0,"Action, Comedy, Thriller",150000000.0,0.0,AU,2019.0
1994,Ip Man: The Awakening,2021-09-16,70.0,"Action, Drama, Adventure",126371600.0,390628267.6,CN,2021.0
